ID,Married,Gender,Age,Graduate,Profession,Years_of_Working,Spending_Score,Family_Members,Category,Class(Target)
54,1,1.0,22,0.0,Healthcare,0.0,Low,3.0,Cat_6,B
55,0,1.0,61,1.0,Marketing,1.0,Low,1.0,Cat_6,B
56,1,0.0,62,1.0,Artist,1.0,Average,3.0,Cat_3,D
57,1,0.0,78,1.0,Lawyer,0.0,High,5.0,Cat_6,C
58,0,0.0,39,1.0,Artist,7.0,High,5.0,,A
59,0,1.0,33,0.0,Healthcare,,Low,3.0,Cat_4,C
60,1,1.0,19,0.0,Healthcare,0.0,Low,4.0,Cat_6,B
61,0,0.0,39,,Doctor,2.0,Low,1.0,Cat_3,D
62,0,1.0,28,1.0,Homemaker,8.0,Low,1.0,Cat_6,B
63,1,1.0,33,1.0,Artist,1.0,Low,2.0,Cat_6,A
64,0,0.0,55,1.0,Artist,1.0,Low,1.0,Cat_6,C
65,0,0.0,52,1.0,Artist,6.0,Low,2.0,Cat_6,D
66,1,0.0,29,0.0,Homemaker,9.0,Low,1.0,Cat_4,D
67,1,0.0,43,0.0,Entertainment,9.0,Low,2.0,Cat_4,C
68,0,0.0,46,1.0,Homemaker,8.0,Average,3.0,Cat_3,A
69,0,0.0,37,1.0,Doctor,8.0,Average,4.0,Cat_2,D
70,0,0.0,87,1.0,Lawyer,,High,2.0,Cat_6,A
71,0,0.0,36,1.0,Engineer,0.0,Low,1.0,Cat_6,C
72,1,1.0,43,1.0,Artist,0.0,Low,2.0,Cat_6,D
73,1,0.0,82,0.0,Executive,1.0,High,4.0,Cat_4,D
74,1,0.0,73,0.0,Executive,1.0,High,2.0,Cat_4,B
75,1,0.0,69,1.0,Entertainment,,Average,3.0,Cat_6,A
76,1,1.0,18,0.0,Healthcare,0.0,Low,3.0,Cat_3,B
77,0,0.0,43,0.0,Engineer,,Average,4.0,Cat_4,D
78,0,0.0,35,1.0,Artist,0.0,Low,3.0,Cat_6,D
79,1,0.0,49,1.0,Artist,0.0,Low,3.0,Cat_3,A
80,1,1.0,25,1.0,Healthcare,0.0,Low,,Cat_3,B
81,1,1.0,39,1.0,Artist,0.0,Low,1.0,Cat_6,D
82,0,1.0,39,1.0,Engineer,1.0,Low,3.0,Cat_6,C
83,0,0.0,62,1.0,Artist,,Average,3.0,Cat_6,A
84,1,0.0,72,1.0,Entertainment,7.0,Low,2.0,Cat_6,D
85,1,0.0,27,0.0,Engineer,6.0,Low,3.0,Cat_6,B
86,1,0.0,47,0.0,Entertainment,9.0,Average,6.0,Cat_6,A
87,0,1.0,42,1.0,Artist,1.0,Low,2.0,Cat_5,A
88,1,1.0,25,1.0,Artist,9.0,Low,3.0,Cat_6,D
89,0,0.0,81,1.0,Lawyer,1.0,High,2.0,Cat_6,A
90,0,1.0,22,0.0,Homemaker,0.0,Low,4.0,Cat_6,B
91,1,0.0,57,1.0,Artist,0.0,Average,2.0,Cat_6,C
92,1,0.0,47,1.0,Artist,1.0,Average,4.0,Cat_6,A
93,1,1.0,21,0.0,Healthcare,1.0,Low,3.0,Cat_3,B
94,1,0.0,65,0.0,Lawyer,1.0,High,2.0,Cat_6,A
95,1,,18,0.0,,6.0,High,4.0,Cat_3,B
96,0,1.0,41,0.0,Engineer,1.0,Low,1.0,Cat_6,D
97,1,1.0,29,1.0,Artist,0.0,Low,3.0,Cat_6,B
98,1,1.0,20,0.0,Healthcare,2.0,Low,5.0,Cat_6,D
99,0,1.0,28,0.0,Doctor,0.0,Low,5.0,Cat_3,D
100,1,1.0,39,0.0,Marketing,1.0,Low,2.0,Cat_6,D
101,1,1.0,31,0.0,Doctor,1.0,Low,2.0,Cat_4,D
102,0,1.0,23,0.0,Healthcare,1.0,Low,4.0,Cat_6,B
103,1,0.0,50,1.0,Artist,0.0,Average,2.0,Cat_6,C
104,0,0.0,63,1.0,,4.0,Average,3.0,Cat_6,D
105,0,1.0,30,1.0,Entertainment,9.0,Low,3.0,Cat_6,B
106,0,0.0,38,0.0,Doctor,1.0,Average,3.0,Cat_4,D
107,0,1.0,26,1.0,Artist,9.0,Low,1.0,Cat_6,D
108,0,1.0,28,1.0,Doctor,0.0,Low,6.0,Cat_4,B
109,1,0.0,61,0.0,Healthcare,0.0,High,4.0,Cat_7,B
110,1,1.0,18,0.0,Healthcare,0.0,Low,4.0,Cat_3,B
111,0,1.0,40,1.0,Entertainment,0.0,Low,1.0,Cat_6,D
112,0,1.0,20,0.0,Marketing,3.0,Low,4.0,Cat_7,A
113,0,0.0,80,1.0,Lawyer,0.0,High,,Cat_6,D
114,0,0.0,72,1.0,Engineer,0.0,High,2.0,Cat_4,C
115,0,1.0,40,1.0,Lawyer,1.0,Low,1.0,Cat_6,D
116,0,1.0,51,1.0,Marketing,9.0,Low,1.0,Cat_6,B
117,0,0.0,74,0.0,Lawyer,1.0,High,2.0,Cat_6,A
118,1,0.0,42,1.0,Artist,1.0,Average,2.0,Cat_6,A
119,0,0.0,39,1.0,Engineer,8.0,Average,2.0,Cat_6,A
120,1,0.0,85,1.0,Lawyer,,Low,1.0,Cat_6,C
121,1,0.0,42,1.0,Artist,3.0,Average,2.0,Cat_6,D
122,0,0.0,49,1.0,Artist,0.0,Average,4.0,Cat_6,C
123,0,1.0,49,0.0,Engineer,12.0,Low,1.0,Cat_4,A
124,1,0.0,32,1.0,Doctor,0.0,Low,3.0,Cat_6,B
125,0,1.0,33,1.0,Engineer,1.0,Low,3.0,Cat_6,D
126,0,1.0,46,0.0,Engineer,1.0,Low,3.0,Cat_3,B
127,1,0.0,39,0.0,Entertainment,1.0,Average,5.0,Cat_4,C
128,1,1.0,28,1.0,Artist,9.0,Low,1.0,Cat_6,D
129,0,0.0,65,1.0,Artist,1.0,Average,4.0,Cat_6,A
130,0,0.0,63,1.0,Artist,1.0,Average,3.0,Cat_6,A
131,0,1.0,25,0.0,Marketing,0.0,Low,4.0,Cat_6,A
132,1,1.0,42,0.0,Engineer,0.0,Low,,Cat_6,C
133,0,0.0,60,1.0,Lawyer,1.0,High,3.0,Cat_6,A
134,0,0.0,70,1.0,Artist,1.0,Average,2.0,Cat_6,A
135,0,0.0,41,1.0,Artist,1.0,Low,1.0,Cat_6,C
136,1,1.0,23,0.0,Healthcare,1.0,Low,4.0,Cat_6,B
137,0,0.0,69,0.0,Engineer,9.0,Low,3.0,Cat_6,D
138,1,0.0,35,1.0,Doctor,5.0,High,2.0,Cat_6,B
139,1,0.0,48,1.0,Artist,0.0,Average,2.0,Cat_6,A
140,1,0.0,42,1.0,Executive,0.0,High,3.0,Cat_4,A
141,1,1.0,38,1.0,Artist,9.0,Low,3.0,Cat_6,D
142,1,0.0,41,1.0,Entertainment,0.0,Average,4.0,Cat_6,C
143,1,0.0,65,1.0,Artist,0.0,High,2.0,Cat_6,D
144,1,1.0,19,0.0,Healthcare,1.0,Low,4.0,Cat_6,B
145,1,1.0,28,0.0,Marketing,0.0,Low,6.0,Cat_6,C
146,1,1.0,29,1.0,Entertainment,9.0,Low,1.0,Cat_6,D
147,1,0.0,73,0.0,Executive,1.0,Low,1.0,Cat_6,C
148,0,1.0,32,1.0,Artist,0.0,Low,3.0,Cat_4,B
149,0,1.0,42,1.0,Artist,12.0,Low,1.0,Cat_6,C
150,1,1.0,29,0.0,Doctor,1.0,Low,2.0,Cat_6,B
151,0,1.0,19,0.0,Healthcare,,Low,4.0,Cat_1,B
152,0,1.0,18,0.0,Healthcare,1.0,Low,3.0,Cat_6,B
153,0,1.0,19,0.0,Doctor,1.0,Low,3.0,Cat_1,D
154,0,0.0,53,1.0,Artist,,Low,,Cat_3,D
155,1,0.0,50,1.0,Entertainment,1.0,Average,4.0,Cat_3,C
156,1,1.0,40,0.0,Entertainment,1.0,Low,1.0,Cat_4,D
157,1,0.0,46,0.0,Artist,4.0,High,4.0,Cat_6,A
158,1,1.0,18,0.0,Marketing,0.0,Low,6.0,Cat_3,C
159,1,0.0,50,1.0,Executive,1.0,High,3.0,Cat_6,A
160,1,0.0,49,0.0,Entertainment,1.0,Average,6.0,Cat_3,C
161,1,0.0,69,0.0,Executive,1.0,High,4.0,Cat_6,A
162,0,1.0,27,0.0,Healthcare,14.0,Low,1.0,Cat_6,B
163,1,0.0,49,1.0,Marketing,0.0,High,2.0,Cat_6,A
164,1,1.0,27,0.0,Artist,9.0,Low,8.0,Cat_6,B
165,1,0.0,46,0.0,Doctor,0.0,Average,3.0,Cat_4,B
166,1,1.0,53,1.0,Artist,1.0,Low,1.0,Cat_6,C
167,0,0.0,63,1.0,Artist,1.0,Average,4.0,Cat_6,C
168,1,0.0,72,1.0,Artist,0.0,Average,2.0,Cat_6,A
169,1,,32,1.0,Healthcare,8.0,High,5.0,Cat_7,B
170,0,1.0,35,1.0,Healthcare,0.0,Low,1.0,Cat_2,B
171,0,0.0,47,1.0,Healthcare,0.0,Average,6.0,Cat_1,A
172,0,0.0,56,0.0,,,Average,3.0,Cat_4,B
173,0,1.0,19,0.0,Healthcare,7.0,Low,1.0,Cat_4,B
174,0,1.0,23,0.0,Healthcare,1.0,Low,3.0,Cat_6,B
175,0,0.0,84,0.0,Lawyer,0.0,High,2.0,Cat_6,C
176,1,0.0,62,1.0,Entertainment,1.0,Average,3.0,Cat_6,A
177,0,1.0,19,0.0,Healthcare,0.0,Low,3.0,Cat_6,B
178,1,0.0,53,1.0,Artist,0.0,Average,3.0,Cat_6,D
179,1,0.0,29,1.0,Marketing,1.0,High,2.0,Cat_3,D
180,1,0.0,48,1.0,Artist,0.0,High,4.0,Cat_6,C
181,1,1.0,25,0.0,Doctor,0.0,Low,4.0,Cat_6,B
182,0,1.0,26,0.0,Artist,1.0,Low,1.0,Cat_6,B
183,0,0.0,81,0.0,Engineer,0.0,High,2.0,Cat_6,C
184,1,0.0,46,1.0,Artist,8.0,Average,2.0,Cat_6,A
185,1,1.0,33,0.0,Marketing,,Low,,Cat_6,A
186,1,0.0,55,1.0,Artist,1.0,Low,2.0,Cat_6,A
187,1,0.0,48,1.0,Engineer,0.0,Average,3.0,Cat_3,C
188,0,0.0,35,1.0,Entertainment,9.0,Average,2.0,Cat_2,D
189,0,0.0,41,1.0,Artist,,Low,1.0,Cat_6,C
190,1,1.0,29,0.0,Healthcare,1.0,Low,,Cat_6,B
191,1,1.0,36,1.0,Artist,5.0,Low,1.0,Cat_6,B
192,1,0.0,77,1.0,Lawyer,0.0,Low,1.0,Cat_6,D
193,1,0.0,79,1.0,Lawyer,2.0,Low,1.0,Cat_6,B
194,1,0.0,51,1.0,Entertainment,1.0,Average,4.0,Cat_6,C
195,1,0.0,49,1.0,Artist,1.0,Low,2.0,Cat_6,A
196,0,1.0,22,0.0,Healthcare,1.0,Low,3.0,Cat_6,B
197,1,0.0,52,1.0,Artist,4.0,Low,1.0,Cat_6,A
198,1,1.0,48,0.0,Entertainment,1.0,Low,1.0,Cat_6,A
199,1,1.0,19,0.0,Entertainment,0.0,Low,6.0,Cat_4,D
200,1,0.0,28,0.0,Entertainment,0.0,Average,2.0,Cat_4,D
201,0,0.0,42,0.0,Homemaker,6.0,High,4.0,Cat_6,C
202,1,0.0,47,1.0,Entertainment,2.0,Average,3.0,Cat_3,C
203,0,1.0,85,1.0,Lawyer,0.0,Low,3.0,Cat_6,D
204,0,1.0,42,1.0,Marketing,10.0,Low,3.0,Cat_6,B
205,0,0.0,45,1.0,Artist,5.0,Average,2.0,Cat_6,C
206,1,0.0,53,1.0,Artist,0.0,High,3.0,Cat_6,A
207,0,0.0,50,1.0,Artist,1.0,Average,2.0,Cat_6,A
208,0,0.0,40,1.0,Doctor,0.0,Low,1.0,Cat_2,D
209,0,1.0,27,1.0,Entertainment,8.0,Low,3.0,Cat_6,B
210,0,1.0,28,1.0,Engineer,1.0,Low,6.0,Cat_2,D
211,1,0.0,66,,Executive,0.0,High,2.0,Cat_6,C
212,1,1.0,28,1.0,Engineer,0.0,Low,5.0,Cat_4,B
213,1,1.0,22,0.0,Healthcare,0.0,Low,5.0,Cat_2,B
214,1,0.0,33,1.0,Entertainment,,Average,2.0,Cat_3,C
215,1,0.0,43,1.0,Artist,13.0,Low,1.0,Cat_6,D
216,0,1.0,29,0.0,Engineer,0.0,Low,3.0,Cat_6,B
217,1,0.0,80,1.0,Executive,3.0,Low,1.0,Cat_6,C
218,1,0.0,36,1.0,Homemaker,,Average,2.0,Cat_3,A
219,0,1.0,41,1.0,Artist,0.0,Low,1.0,Cat_6,A
220,0,0.0,60,0.0,Lawyer,,High,2.0,Cat_6,A
221,0,1.0,20,0.0,Healthcare,0.0,Low,3.0,Cat_6,B
222,0,0.0,86,1.0,Lawyer,0.0,High,2.0,Cat_6,A
223,1,0.0,32,0.0,Entertainment,1.0,Low,2.0,Cat_3,B
224,0,0.0,58,1.0,Homemaker,2.0,Low,1.0,Cat_6,A
225,0,0.0,69,1.0,Artist,9.0,High,2.0,Cat_6,A
226,0,1.0,27,0.0,Healthcare,0.0,Low,4.0,Cat_4,A
227,0,0.0,49,1.0,Artist,2.0,Average,2.0,Cat_6,A
228,0,1.0,43,1.0,Engineer,0.0,Low,1.0,Cat_3,D
229,1,1.0,26,0.0,Healthcare,0.0,Low,4.0,Cat_4,B
230,0,1.0,41,1.0,Marketing,1.0,Low,1.0,Cat_6,B
231,1,0.0,38,1.0,Artist,8.0,Average,2.0,Cat_4,C
232,1,0.0,42,1.0,Executive,5.0,High,3.0,Cat_6,A
233,1,1.0,26,1.0,Artist,,Low,,Cat_4,D
234,0,,60,1.0,Engineer,1.0,Average,4.0,Cat_2,C
235,0,1.0,38,1.0,Engineer,0.0,Low,3.0,Cat_6,A
236,0,1.0,49,1.0,Artist,0.0,Low,3.0,Cat_2,C
237,1,0.0,40,0.0,Doctor,0.0,Average,2.0,Cat_3,B
238,0,1.0,18,0.0,Healthcare,0.0,Low,6.0,Cat_6,B
239,1,1.0,27,1.0,Doctor,0.0,Low,5.0,Cat_6,C
240,1,0.0,73,1.0,Executive,1.0,High,2.0,Cat_6,C
241,1,0.0,60,1.0,Executive,4.0,High,3.0,Cat_6,A
242,0,1.0,28,1.0,Engineer,9.0,Low,3.0,Cat_6,B
243,0,1.0,25,1.0,Artist,4.0,Low,5.0,Cat_6,A
244,0,0.0,38,1.0,Engineer,,Average,3.0,Cat_4,D
245,1,0.0,39,0.0,Executive,8.0,Average,4.0,Cat_4,D
246,0,0.0,40,1.0,Engineer,1.0,Average,4.0,Cat_5,C
247,1,0.0,59,0.0,Doctor,0.0,Average,2.0,Cat_6,C
248,0,1.0,20,0.0,Healthcare,3.0,Low,3.0,Cat_1,B
249,1,0.0,50,1.0,Entertainment,0.0,Average,4.0,Cat_6,C
250,1,1.0,36,0.0,Artist,2.0,Low,4.0,Cat_6,D
251,0,0.0,26,0.0,Engineer,7.0,Average,2.0,Cat_3,C
252,1,1.0,30,0.0,Entertainment,1.0,Low,2.0,Cat_4,B
253,0,1.0,20,0.0,Marketing,1.0,Low,2.0,Cat_3,B
254,1,1.0,47,1.0,Artist,0.0,Low,1.0,Cat_6,D
255,1,1.0,87,,Lawyer,1.0,Low,2.0,Cat_4,D
256,0,0.0,60,1.0,Engineer,4.0,Average,4.0,Cat_2,C
257,0,1.0,40,1.0,Entertainment,14.0,Low,1.0,Cat_6,D
258,0,1.0,27,0.0,Artist,1.0,Low,6.0,Cat_6,B
259,1,0.0,37,0.0,Engineer,8.0,Average,3.0,Cat_4,B
260,1,1.0,32,1.0,Entertainment,1.0,Low,1.0,Cat_4,D
261,1,1.0,19,0.0,Healthcare,5.0,Low,5.0,Cat_2,D
262,1,1.0,32,1.0,Healthcare,,Low,1.0,Cat_6,C
263,1,0.0,50,0.0,Artist,0.0,Average,4.0,Cat_6,A
264,0,1.0,22,0.0,Entertainment,,Low,3.0,Cat_6,B
265,1,1.0,21,0.0,Healthcare,1.0,Low,3.0,Cat_4,B
266,1,0.0,48,1.0,Artist,1.0,Average,3.0,Cat_6,A
267,1,1.0,28,0.0,Doctor,8.0,Low,3.0,Cat_6,D
268,0,0.0,25,1.0,Artist,8.0,Average,2.0,Cat_4,A
269,0,0.0,86,1.0,Lawyer,1.0,High,2.0,Cat_6,B
270,0,1.0,18,0.0,Healthcare,,Low,3.0,Cat_3,B
271,0,0.0,49,1.0,Engineer,0.0,High,2.0,Cat_4,B
272,0,0.0,41,1.0,Homemaker,,High,2.0,Cat_6,A
273,1,0.0,30,1.0,Artist,12.0,Average,2.0,Cat_6,C
274,1,0.0,62,1.0,Artist,0.0,Low,3.0,Cat_6,A
275,0,0.0,70,1.0,Lawyer,1.0,High,2.0,Cat_6,A
276,1,0.0,57,1.0,Artist,,Low,1.0,Cat_6,B
277,1,1.0,52,1.0,Artist,0.0,Low,1.0,Cat_6,D
278,0,1.0,21,0.0,Doctor,1.0,Low,3.0,Cat_7,D
279,1,0.0,62,0.0,Executive,9.0,High,3.0,Cat_6,C
280,1,0.0,83,1.0,Executive,,High,2.0,Cat_6,C
281,1,0.0,35,0.0,Doctor,9.0,Low,2.0,Cat_6,C
282,1,0.0,41,0.0,Executive,1.0,Average,3.0,Cat_6,D
283,0,1.0,45,1.0,Artist,3.0,Low,1.0,Cat_6,D
284,1,1.0,20,0.0,Healthcare,0.0,Low,5.0,Cat_2,B
285,1,0.0,52,1.0,Healthcare,0.0,Average,4.0,Cat_6,A
286,0,0.0,38,1.0,Engineer,0.0,Low,1.0,Cat_5,B
287,1,1.0,26,0.0,Artist,0.0,Low,2.0,Cat_6,B
288,1,0.0,61,1.0,Executive,9.0,High,3.0,Cat_6,A
289,0,1.0,43,1.0,Artist,8.0,Low,4.0,Cat_6,B
290,0,0.0,74,0.0,Lawyer,1.0,High,2.0,Cat_6,D
291,0,1.0,22,0.0,Healthcare,3.0,Low,3.0,Cat_6,B
292,0,0.0,61,0.0,Engineer,1.0,Average,2.0,Cat_6,A
293,0,1.0,43,1.0,Artist,1.0,Low,1.0,Cat_4,C
294,1,0.0,39,1.0,Artist,9.0,Average,2.0,Cat_3,C
295,1,0.0,26,0.0,Entertainment,8.0,Low,2.0,Cat_4,B
296,1,0.0,59,1.0,Executive,11.0,High,3.0,Cat_6,A
297,0,0.0,31,1.0,Artist,0.0,Average,2.0,Cat_6,D
298,0,0.0,89,1.0,Entertainment,6.0,Average,4.0,Cat_2,D
299,0,0.0,39,0.0,Doctor,1.0,Average,9.0,Cat_4,D
300,0,1.0,53,1.0,Engineer,1.0,Low,1.0,Cat_6,D
301,1,1.0,25,0.0,Entertainment,2.0,Low,7.0,Cat_6,B
302,0,1.0,37,1.0,Artist,0.0,Low,1.0,Cat_2,C
303,1,1.0,48,1.0,Entertainment,,Low,,Cat_3,D
304,1,0.0,87,0.0,Executive,0.0,High,2.0,Cat_6,A
305,0,1.0,32,0.0,Marketing,11.0,Low,6.0,Cat_6,B
306,0,0.0,42,1.0,Artist,0.0,Low,2.0,Cat_6,D
307,1,1.0,63,1.0,Artist,0.0,Low,2.0,Cat_6,C
308,0,0.0,79,1.0,Lawyer,14.0,High,3.0,Cat_6,A
309,1,0.0,39,0.0,Executive,,High,4.0,Cat_3,B
310,0,1.0,31,1.0,Marketing,8.0,Low,,Cat_1,B
311,1,1.0,18,0.0,Healthcare,3.0,Low,5.0,Cat_6,B
312,0,0.0,65,1.0,Lawyer,0.0,High,3.0,Cat_6,A
313,1,1.0,51,1.0,Artist,,Low,1.0,Cat_6,C
314,0,0.0,36,1.0,Homemaker,8.0,Average,5.0,Cat_6,C
315,1,0.0,53,1.0,Executive,1.0,High,4.0,Cat_6,C
316,0,0.0,41,0.0,Doctor,,Low,1.0,Cat_7,D
317,1,1.0,18,0.0,Doctor,0.0,Low,2.0,Cat_5,B
318,1,0.0,70,1.0,Lawyer,1.0,High,3.0,Cat_6,A
319,1,0.0,40,0.0,,,Average,5.0,Cat_3,C
320,1,1.0,38,1.0,Entertainment,1.0,Low,3.0,Cat_6,D
321,1,0.0,71,0.0,Lawyer,0.0,High,,Cat_6,D
322,1,0.0,70,0.0,Executive,,High,2.0,Cat_6,C
323,1,0.0,56,1.0,Artist,0.0,Average,4.0,Cat_6,A
324,1,1.0,29,1.0,Artist,8.0,Low,1.0,Cat_6,B
325,1,1.0,27,0.0,Doctor,0.0,Low,4.0,Cat_1,B
326,0,0.0,61,1.0,Homemaker,1.0,Average,,Cat_3,C
327,1,1.0,32,1.0,Healthcare,8.0,Low,,Cat_6,B
328,0,0.0,58,0.0,Lawyer,,High,2.0,Cat_6,C
329,1,0.0,50,,Entertainment,,Average,5.0,Cat_4,C
330,1,0.0,29,0.0,Healthcare,5.0,Low,2.0,Cat_6,B
331,0,0.0,46,0.0,Artist,0.0,Average,4.0,Cat_3,A
332,0,0.0,47,0.0,Engineer,10.0,Low,2.0,Cat_3,B
333,1,1.0,21,0.0,Doctor,9.0,Low,3.0,Cat_7,B
334,0,0.0,68,1.0,Artist,,Average,3.0,Cat_6,A
335,0,0.0,27,0.0,Doctor,0.0,Low,,Cat_3,A
336,0,1.0,33,1.0,Doctor,,Low,3.0,Cat_6,B
337,0,1.0,40,1.0,Homemaker,9.0,Low,1.0,Cat_6,B
338,0,0.0,70,1.0,Entertainment,1.0,High,2.0,Cat_6,C
339,1,,20,0.0,Marketing,3.0,Low,2.0,Cat_3,A
340,1,0.0,31,0.0,Artist,,Average,2.0,Cat_6,C
341,0,1.0,32,0.0,Entertainment,,Low,4.0,Cat_6,B
342,1,0.0,59,1.0,Artist,0.0,Average,6.0,Cat_6,A
343,0,1.0,28,1.0,Healthcare,9.0,Low,1.0,Cat_6,D
344,1,0.0,89,1.0,Lawyer,13.0,Low,1.0,Cat_6,D
345,0,0.0,23,0.0,Healthcare,7.0,High,2.0,Cat_6,C
346,0,0.0,56,1.0,Artist,1.0,Low,2.0,Cat_6,C
347,1,0.0,29,1.0,Healthcare,8.0,Low,,Cat_6,B
348,1,0.0,43,1.0,Artist,2.0,Average,3.0,Cat_6,D
349,1,0.0,35,0.0,Artist,4.0,Average,2.0,Cat_6,C
350,0,0.0,38,1.0,Artist,,Low,3.0,Cat_6,B
351,0,0.0,46,1.0,Artist,8.0,Average,2.0,Cat_6,A
352,1,0.0,55,0.0,Artist,0.0,Low,1.0,Cat_6,D
353,1,0.0,47,1.0,Artist,1.0,Average,4.0,Cat_2,B
354,0,0.0,37,0.0,Engineer,0.0,Low,2.0,Cat_6,D
355,0,0.0,48,1.0,Engineer,0.0,High,5.0,Cat_4,D
356,1,1.0,33,0.0,Artist,,Low,4.0,Cat_6,B
357,1,0.0,88,1.0,Lawyer,0.0,High,2.0,Cat_6,D
358,1,0.0,25,0.0,Executive,4.0,High,8.0,Cat_4,B
359,1,0.0,52,1.0,Engineer,1.0,Average,3.0,Cat_4,A
360,1,0.0,27,0.0,Executive,,Low,2.0,Cat_4,B
361,0,1.0,31,1.0,Homemaker,9.0,Low,1.0,Cat_6,B
362,1,1.0,27,1.0,Healthcare,1.0,Low,3.0,Cat_6,B
363,1,0.0,33,1.0,Entertainment,1.0,Low,2.0,Cat_7,D
364,1,0.0,46,1.0,Artist,0.0,Low,1.0,Cat_6,C
365,0,0.0,42,1.0,Artist,1.0,Low,2.0,Cat_6,D
366,1,0.0,57,0.0,Entertainment,0.0,High,3.0,Cat_4,B
367,1,1.0,31,1.0,Doctor,1.0,Low,2.0,Cat_6,D
368,0,1.0,27,1.0,Doctor,1.0,Low,4.0,Cat_4,C
369,0,1.0,31,1.0,Artist,,Low,1.0,Cat_6,D
370,0,1.0,23,0.0,Healthcare,0.0,Low,3.0,Cat_6,B
371,0,0.0,37,1.0,Engineer,,Average,3.0,Cat_6,C
372,1,0.0,65,0.0,Lawyer,,High,2.0,Cat_3,B
